"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"08/06/2024","AQS","060371103","9","1.3","ppb","1","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"08/07/2024","AQS","060371103","9","0.7","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"08/08/2024","AQS","060371103","9","0.5","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"08/09/2024","AQS","060371103","9","0.2","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"08/10/2024","AQS","060371103","9","0.5","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"08/11/2024","AQS","060371103","9","1.1","ppb","1","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"08/12/2024","AQS","060371103","9","0.8","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"08/13/2024","AQS","060371103","9","0.6","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"08/14/2024","AQS","060371103","9","0.6","ppb","0","Los Angeles-North Main Street","22","92.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"08/15/2024","AQS","060371103","9","1.1","ppb","1","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"08/16/2024","AQS","060371103","9","2.1","ppb","3","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
"08/17/2024","AQS","060371103","9","0.2","ppb","0","Los Angeles-North Main Street","24","100.0000","42401","Sulfur dioxide","560","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.0665900008759","-118.22688"
